id,name,description
ae95f474-6f83-4774-a9fe-6ba11eff641b,Vistos e Documentação,Categoria de artigos sobre vistos e documentação.
28f5a8c0-66e0-4989-85c4-6a1f9eed0492,Custo de Vida e Planejamento Financeiro,Categoria de artigos sobre custo de vida e planejamento financeiro.
50213d01-55af-4446-a7e3-9ed1a80b7f09,Educação e Escolas,Categoria de artigos sobre educação e escolas.
950807ea-8830-4ff4-83bc-121d208f097c,Mercado de Trabalho e Carreira,Categoria de artigos sobre mercado de trabalho e carreira.
530d79f3-b247-4541-b9a8-d3f35d49ec67,Cidades e Destinos,Categoria de artigos sobre cidades e destinos.
8f5cc40e-82b7-4747-8ccf-823f668c871d,Vida Cotidiana e Cultura,Categoria de artigos sobre vida cotidiana e cultura.
ea498348-d323-4328-bf0b-de0e4c9c0a9f,Família e Crianças,Categoria de artigos sobre família e crianças.
3239b496-0419-410a-be09-60a3cce9b31d,Histórias Reais,Categoria de artigos sobre histórias reais.
ce52b24a-a553-42d0-89c4-40a447ea8d70,Ferramentas e Soluções,Categoria de artigos sobre ferramentas e soluções.
0e4520cc-35e8-4969-8ac2-f4d4ad77e229,Legislação e Direitos,Categoria de artigos sobre legislação e direitos.
24130585-be3e-4dd3-9c70-1d4671058aa8,Checklist & Templates,Categoria de artigos sobre checklist & templates.
401340ca-eae1-4d21-96f0-57998425a1d3,Tendências e Notícias,Categoria de artigos sobre tendências e notícias.
1c12921e-8f34-4544-aa8c-141b23eecf4f,Resenhas e Recomendações,Categoria de artigos sobre resenhas e recomendações.
2da293e9-9038-4531-a589-9635859ba34c,Eventos e Lives,Categoria de artigos sobre eventos e lives.
d5155bb8-51a6-4d19-baa3-7cd72731147a,Perguntas Frequentes,Categoria de artigos sobre perguntas frequentes.
