id,city_id,name,description,url,address,phone,created_at,updated_at
0620a1ed-12e1-41fd-8f6e-d3ca79efb4f0,0d61b75c-743b-4d9c-a294-04cc4145569d,WILLIAM B TRAVIS WORLD LANGUAGE ACADEMY,,http://www.gpisd.org/travis,525 NE 15TH ST,(972)262-2990,2025-05-19 00:31:54.625022+00,2025-05-19 00:31:54.625022+00
08a885e1-554c-4db4-8274-ef0ee843d3a9,e6c5f3e6-c612-4616-a82c-4f8e9d7c2886,Scott Dual Language Magnet,,http://www.topeka.k12.ks.us,401 SE Market St,(785)235-7480,2025-05-19 00:29:18.501031+00,2025-05-19 00:29:18.501031+00
0a01b416-db5e-49d9-be8f-e11720cd4c1d,514ab0f6-c3db-4b89-8b70-bad30b23144a,Yi Hwang Academy of Language Excellence,,http://www.yhale.org,4550 RiverGreen Parkway - Suit,(404)623-0003,2025-05-19 00:35:27.528469+00,2025-05-19 00:35:27.528469+00
0abe7334-a30e-47d2-8db6-dbbf090eec85,70c408bf-30b9-40ad-8105-d6f1ad4dbd8a,Napa Valley Language Academy,,http://nvla.nvusd.org/,2700 Kilburn Ave.,(707)253-3678,2025-05-19 00:38:48.132319+00,2025-05-19 00:38:48.132319+00
0bd43d20-10c5-4c3a-9f59-b17fa6018cd9,adf28f4c-91c6-450a-8454-7de26af3ab78,Tenney Grammar School,,http://www.methuen.k12.ma.us,75 Pleasant Street,(978)722-9026,2025-05-19 00:47:50.457182+00,2025-05-19 00:47:50.457182+00
0d217a82-7f36-4b9c-b30d-b1743ac46ab1,df0a1a89-73ae-4f00-acbc-5b5afc2fced0,C. T. English Middle,,,23800 Summit Rd.,(408)353-1123,2025-05-19 00:39:04.229177+00,2025-05-19 00:39:04.229177+00
10abb0ae-57f4-4671-801d-48159ac455c2,4420b53b-de84-4ed4-9004-3372b1b4fa7b,South Ranchito Dual Language Academy,,http://www.erusd.org,5241 South Passons Blvd.,(562)801-7660,2025-05-19 00:38:32.875873+00,2025-05-19 00:38:32.875873+00
11f92990-54c2-40e2-b679-d5fe308a72a7,c410a74a-a2ef-4f5a-88ec-d358723065f7,Foster Dual Language PK-8,,,5300 SAULSBURY COURT,(303)982-1680,2025-05-19 00:32:46.229222+00,2025-05-19 00:32:46.229222+00
19de8fd6-4a6f-4577-8eae-7baa1ef54ab7,85df2b92-5eb7-49a6-8830-216aa958b53c,International Spanish Language Acad,,http://www.isla.school/,5350 W 78TH ST,(952)746-6020,2025-05-19 00:48:29.587307+00,2025-05-19 00:48:29.587307+00
1ac55ebb-3fc5-4e2e-a5f2-34d9a36a32cf,adf28f4c-91c6-450a-8454-7de26af3ab78,Donald P Timony Grammar,,http://www.methuen.k12.ma.us,45 Pleasant View Street,(978)722-9001,2025-05-19 00:47:50.150042+00,2025-05-19 00:47:50.150042+00
1bc58647-d75a-440e-80e6-92f531fde280,05dbea37-3e23-4495-80b3-34cde2fdf314,UVALDE DUAL LANGUAGE ACADEMY,,,224 N BENSON RD,(830)591-2988,2025-05-19 00:45:16.21003+00,2025-05-19 00:45:16.21003+00
1d5b8299-1190-407d-8d2d-175d2e26b451,e10d167a-21e6-40f2-8516-8e9479ac7bd8,Raices Upper Dual Language Acd,,,112 Washington Street,(401)727-7733,2025-05-19 00:47:03.375521+00,2025-05-19 00:47:03.375521+00
1f433b3f-9325-406c-b735-748bda25d709,5bfb3e1a-58d6-4a75-9da9-a482cbdcab6d,Courtenay Elem Language Arts Ctr,,http://www.cps.edu,4420 N Beacon St,(773)534-5790,2025-05-19 00:25:52.028365+00,2025-05-19 00:25:52.028365+00
1fd75e15-b39b-4821-8d79-5096a2f61b84,7934a833-610a-4803-8620-360b5cde9dcf,Adelante Dual Language Academy II,,,1970 Cinderella Ln.,(408)928-7100,2025-05-19 00:29:30.068019+00,2025-05-19 00:29:30.068019+00
21dcf01c-44af-4269-b582-44ee52a65efc,8b55ed52-9b63-4d1b-ba87-4ff39cd5a898,Edward Hyatt World Language Academy,,http://www.sanjacinto.k12.ca.us,400 East Shaver St.,(951)654-9391,2025-05-19 00:42:44.783891+00,2025-05-19 00:42:44.783891+00
27912dc4-9284-486e-a8b2-dddc2b492552,9b9d0d61-1b75-4f7d-a584-d106dafbd62b,Language Academy,,http://www.languageacademy.sandiegounified.org/,4961 64th St.,(619)287-1182,2025-05-19 00:23:57.363804+00,2025-05-19 00:23:57.363804+00
27fc5081-3327-40fa-bce6-2f4f382bb271,79ea5b3d-9c39-4d2d-9dc6-5a8f6465d50b,WESLACO EAST H S,,http://wehs.wisd.us/,810 S PLEASANTVIEW DR,(956)969-6950,2025-05-19 00:45:10.237407+00,2025-05-19 00:45:10.237407+00
2922eccd-343a-485c-8126-bd27ed0792c1,9b9d0d61-1b75-4f7d-a584-d106dafbd62b,Empower Language Academy,,http://empowercharter.org/,6402 Linda Vista Rd.,(858)292-1304,2025-05-19 00:23:55.49263+00,2025-05-19 00:23:55.49263+00
2a7be571-49bf-465f-b27e-9c30ed992136,9b36dd41-a401-4335-a508-69131f977e34,LESLIE F ROBLYER LEARNING CTR,,http://www.elrenops.org,427 SW 27th,(405)262-2700,2025-05-19 00:54:58.851882+00,2025-05-19 00:54:58.851882+00
2b769de3-dbb1-488b-9210-f934149ae9c2,9eb458c2-44e4-471a-8523-7c9b5ae64eff,MARILYN MILLER LANGUAGE ACADEMY,,http://www.lwisd.org,5250 ESTRELLA DR,(817)306-4280,2025-05-19 00:28:56.202633+00,2025-05-19 00:28:56.202633+00
2ba602e5-5b98-490c-92a1-67008005945f,5bfb3e1a-58d6-4a75-9da9-a482cbdcab6d,Gallistel Elem Language Academy,,http://www.cps.edu,10347 S Ewing Ave,(773)535-6540,2025-05-19 00:25:44.943874+00,2025-05-19 00:25:44.943874+00
2c7a065d-520e-4b7e-bf52-729cfe7adf5c,0bd60fbb-9726-4a64-819d-448bc46671e2,NORTH DADE CENTER FOR MODERN LANGUAGES,,http://cml.dadeschools.net,1840 NW 157TH ST,(305)625-3885,2025-05-19 00:40:47.023775+00,2025-05-19 00:40:47.023775+00
2d7a036d-9f85-4f71-80dc-c6c00d09b2ef,419bdb17-9a9d-4a46-a9c4-41143721bc96,Beardslee Dual Language Immersion Academy (PK-8),,http://beardslee.duarteusd.org/,1212 East Kellwil Way,(626)599-5200,2025-05-19 00:46:54.060796+00,2025-05-19 00:46:54.060796+00
2efd40d0-5524-4382-9471-99a47bc9ea7c,7d6f13d4-c62e-4c7f-8df2-4f74b73e5dca,Duff Language Magnet Academy,,http://www.garvey.k12.ca.us,7830 Dorothy Ave.,(626)927-5757,2025-05-19 00:42:03.128923+00,2025-05-19 00:42:03.128923+00
300022c8-2df8-45a6-afa7-dba48c5686e7,e10d167a-21e6-40f2-8516-8e9479ac7bd8,Raices Dual Language Academy,,,135 Hunt street,(401)727-7733,2025-05-19 00:47:03.044632+00,2025-05-19 00:47:03.044632+00
30aeff83-a247-4f72-821c-4060e034c2fd,2fa6d52e-b745-411f-ba39-2fa0fa17c68a,RISE Grammar School,,,2626 Hogan Rd,(404)669-8060,2025-05-19 00:53:18.174887+00,2025-05-19 00:53:18.174887+00
32713e4e-4f57-4b0d-bcfc-8a407da0992d,52b31932-c66c-47ab-a9cf-8e0b9973e40f,Spokane Public Language Immersion,,,2900 E 1st Ave,(509)354-7500,2025-05-19 00:31:00.475309+00,2025-05-19 00:31:00.475309+00
36b18410-6818-43e3-b253-c3df6b38bf78,79ea5b3d-9c39-4d2d-9dc6-5a8f6465d50b,IDEA ACADEMY WESLACO,,http://ideapublicschools.org/our-schools/idea-weslaco/,2931 E SUGAR CANE DR,(956)351-4100,2025-05-19 00:45:09.252452+00,2025-05-19 00:45:09.252452+00
