id,city_id,name,description,field,url,address,phone,created_at,updated_at
0015848d-e88c-46ef-9e26-b63a071f3b0c,ade2add0-4273-4bb7-8148-fc13d11e821e,Global Impact Academy,,,,115 Shaw Drive,(470)254-3900,2025-05-19 00:49:03.101407+00,2025-05-19 00:49:03.101407+00
001db944-cdc0-46b7-8204-0245b2f33653,0d61b75c-743b-4d9c-a294-04cc4145569d,JOHN A DUBISKI CAREER H S,,,http://www.gpisd.org/dubiski,2990 S HWY 161,(972)343-7800,2025-05-19 00:31:53.102889+00,2025-05-19 00:31:53.102889+00
0037934d-69d8-466e-af9f-d232aca4c7a5,1760cb2c-da62-4511-aa32-0dc672bf1747,Joseph V. Regano Early Learning Center,,,,6545 Som Center Rd,(440)349-6210,2025-05-19 00:50:56.458905+00,2025-05-19 00:50:56.458905+00
0039cfbe-34a9-4404-b5a4-4b53c2b47c8f,264205d4-e645-44e1-b9a7-eff3081cab35,Sycamore Academy of Science and Cultural Arts - Chino Valley,,,http://www.sycamorechino.org/,13000 Pipeline Ave.,(909)606-8028,2025-05-19 00:38:09.700482+00,2025-05-19 00:38:09.700482+00
003edc3e-ce96-4884-ab40-570dcecf4c35,0ec79c55-71dc-4911-8cb4-3d5a55664f75,PAT DILLARD SPECIAL ACHIEVEMENT CENTER,,,,601 E MAIN ST,(972)727-7163,2025-05-19 00:37:33.441199+00,2025-05-19 00:37:33.441199+00
00406c01-4751-4aed-ae87-875523edd50b,0bb91101-1ff4-4b9f-a28e-715b1852d7c5,Barton Academy For Advanced World Studies,,,http://bartonexplorers.com,504 Government Street,(251)221-1040,2025-05-19 00:24:12.67052+00,2025-05-19 00:24:12.67052+00
006b89d0-d6fd-4a37-94b0-aed01e93f76a,61918145-e2f0-4f4d-a34b-76de18107d1b,KEARNEY EDUCATION CENTER,,,,1511 5TH AVENUE,(308)698-8033,2025-05-19 00:43:05.594276+00,2025-05-19 00:43:05.594276+00
00746632-8a6c-4964-8ef6-dec7abe1b4cb,7eacb02f-a1b1-4842-9369-bf13bc416404,North Brunswick Twp Early Childhood Center,,,http://www.nbtschools.org/o/ecc,25 Linwood Place,(732)289-3600,2025-05-19 00:52:56.430986+00,2025-05-19 00:52:56.430986+00
00a1d6f5-168b-45c8-9c12-63dd9415fb4e,3416c443-c2b8-4df3-af96-a09939b8cb44,AMES VISUAL/PERF. ARTS,,,,2900 HADLEY,(314)241-7165,2025-05-19 00:32:15.035324+00,2025-05-19 00:32:15.035324+00
00ae8d9d-51a4-4bb4-9488-9145c91e426e,5bfb3e1a-58d6-4a75-9da9-a482cbdcab6d,Prosser Career Academy HS,,,http://www.cps.edu,2148 N Long Ave,(773)534-3200,2025-05-19 00:25:41.018622+00,2025-05-19 00:25:41.018622+00
00d04e79-4b89-4a92-9796-78dfd9c14b21,db57eb45-4de6-4db9-8ccf-90cb1cc379d1,Monarca Academy,,,,5525 W 34th Street,(317)379-0499,2025-05-19 00:27:26.59536+00,2025-05-19 00:27:26.59536+00
00d23f36-c309-4d76-95f8-cc1bb3b63865,122995c2-1ca1-41aa-8290-691da95677ae,HOPE Community Academy Elementary,,,http://hopecommunityacademy.org/,720 PAYNE AVE,(651)796-4500,2025-05-19 00:29:40.520008+00,2025-05-19 00:29:40.520008+00
00fc2149-ae1a-40b1-8bee-adc348c0c37d,c2fbce05-dd72-4764-969c-43c72fa36744,INSTR/GUID CENTER,,,http://ig.mcallenisd.org,2604 GALVESTON AVE,(956)971-4393,2025-05-19 00:31:28.764822+00,2025-05-19 00:31:28.764822+00
0107b7fa-cab5-4a8c-b44b-bd22e26cc5f3,53d2838b-e96a-4c9d-b67f-0958f4cfcc2a,Community Roots Academy,,,http://www.learningcommunities.org,29292 Crown Valley Pkwy.,(949)831-4272,2025-05-19 00:42:55.791875+00,2025-05-19 00:42:55.791875+00
011b88fd-c1ae-41e8-85b2-8a6a6641192f,86e6dc84-9a2c-41cf-b613-5092cf45822f,Worth County Achievement Center,,,,103 Eldridge St,(229)463-3056,2025-05-19 00:53:23.318287+00,2025-05-19 00:53:23.318287+00
012458c0-49c9-4352-bd59-8b297cdfce94,73674253-a9c0-4721-ab9b-d246a17a6582,Metrolina Reg Scholars Academy,,,http://www.scholarsacademy.org,5225 Seventy-Seven Center Dr,(704)503-1112,2025-05-19 00:28:22.505849+00,2025-05-19 00:28:22.505849+00
