id,city_id,name,campus_name,f1_certified,m1_certified,campus_id,created_at,updated_at,url
000b446e-3490-44be-8b32-597751afad6c,c64d00a9-64b6-4129-bc03-843ddc48b198,University of Florida Plant City,University of Florida Plant City,true,false,135511,2025-05-18 21:12:48.951136+00,2025-05-18 21:12:48.951136+00,
001c06fe-3c47-40a9-ab82-b29818f58fb3,f3446aac-204d-48c5-806a-99743ad373c3,Continental On-Line Learning Technology School,Continental On-Line Learning Technology School,false,false,,2025-05-19 00:46:16.272786+00,2025-05-19 00:46:16.272786+00,
0055d586-84a8-4b7e-8210-2c3eaa877f73,5e472295-db51-4792-ab28-a07bd506daa6,University of Washington Tacoma University of Washington Tacoma,University of Washington Tacoma University of Washington Tacoma,true,false,2308,2025-05-18 20:24:15.718419+00,2025-05-18 20:24:15.718419+00,
00645171-a5e4-478d-8d3e-d68083639a0b,0ecbd347-f9d6-4ca5-8064-b8d6f0e7d5d3,Engr and Tech Acad at Esteban E. Torres High #3,Engr and Tech Acad at Esteban E. Torres High #3,false,false,,2025-05-19 00:18:12.524131+00,2025-05-19 00:18:12.524131+00,
007859df-5f97-4ef3-9bc2-438be5249155,877c3132-d65e-477f-b782-6e2c0a0f5bbb,Georgia State University Georgia State U. Buckhead Ctr.,Georgia State University Georgia State U. Buckhead Ctr.,true,false,5119676,2025-05-18 20:05:10.5541+00,2025-05-18 20:05:10.5541+00,
007ce849-4c84-4340-b0a1-35b2597168af,edfd8854-a070-4ac3-9d18-c9dcb1f9ce23,West Coast University West Coast University6,West Coast University West Coast University6,true,false,254475,2025-05-18 19:55:09.940611+00,2025-05-18 19:55:09.940611+00,
00882bec-ca32-49e6-9af1-ee2b7c001ea3,0cffec64-2a85-43af-bc78-863d9dd32f39,Reformed University Reformed University,Reformed University Reformed University,true,false,3339148,2025-05-18 20:48:23.325467+00,2025-05-18 20:48:23.325467+00,
0092f5d5-ba69-4c1c-bf82-4d26eff0df49,c3f3efb0-dbba-4055-a5c8-a3057dad05e2,Adelphi University New,Adelphi University New,true,false,115015,2025-05-18 20:02:59.647985+00,2025-05-18 20:02:59.647985+00,
00930baf-bd2f-43e5-9ba0-501d448a012f,5c19a87b-dd6c-4140-b861-4b36889c0ffe,Baltimore Polytechnic Institute,Baltimore Polytechnic Institute,false,false,,2025-05-19 00:28:58.093615+00,2025-05-19 00:28:58.093615+00,
00b8cb07-5f35-4034-8534-d7ab6d064cfd,96dfffea-0b89-4d2e-8043-bc40214f18f3,Pasco-Hernando State College New Port Richey (West Campus),Pasco-Hernando State College New Port Richey (West Campus),true,true,2415,2025-05-18 20:46:59.512819+00,2025-05-18 20:46:59.512819+00,
00cb3519-af64-474b-b2f7-08a75715d2d0,bf86889c-8d0b-4f97-aac2-934939be2608,Delgado Community College Sidney Collier,Delgado Community College Sidney Collier,true,true,1662646,2025-05-18 20:11:27.288065+00,2025-05-18 20:11:27.288065+00,
00cf735d-0b12-48dd-b268-60f263c59e1f,ce2a86db-089e-408a-b32f-a76fc86b8c01,El Paso Community College District Rio Grande Campus,El Paso Community College District Rio Grande Campus,true,false,175785,2025-05-18 20:08:25.21126+00,2025-05-18 20:08:25.21126+00,
00cfc5ff-00a2-4819-a22c-4acd27e4355b,238ecc10-c546-4349-bda3-bc8516f4ebc3,University of Arizona UA Flowing Wells,University of Arizona UA Flowing Wells,true,false,5127272,2025-05-18 18:46:35.571055+00,2025-05-18 18:46:35.571055+00,
00d6fff4-4fb8-4e30-9dbf-526bcc376800,a59c73fa-abe4-4e45-93a8-a0f14e945fad,Cumberland Perry Area Career & Technical Center,Cumberland Perry Area Career & Technical Center,false,false,,2025-05-19 00:51:40.694422+00,2025-05-19 00:51:40.694422+00,
00e51df0-f9a7-441e-a80f-f819d3f8cb29,d1305d68-964c-4825-81c4-cd2a71cbbad0,Northwest College Northwest College,Northwest College Northwest College,true,false,9989,2025-05-18 22:05:45.224847+00,2025-05-18 22:05:45.224847+00,
01168c73-25df-4f22-8562-4ad7abba2710,c7733312-0f42-4a69-a473-d09428c7aac6,School of Engineering & Sciences,School of Engineering & Sciences,false,false,,2025-05-19 00:18:28.635285+00,2025-05-19 00:18:28.635285+00,
0138f878-bfb6-4793-a725-0266700e8c69,ae9b81f3-126e-4f12-93ea-c0412dbef015,Lake Erie College LCCC University Partnership,Lake Erie College LCCC University Partnership,true,false,4433956,2025-05-18 21:21:41.483637+00,2025-05-18 21:21:41.483637+00,
01446426-5eb0-46f3-91b8-cc5c2f8d3c91,20e30b2f-f5fc-41d4-8e58-c9bf0ca0e15a,Florida A&M University FAMU College of Law,Florida A&M University FAMU College of Law,true,false,140465,2025-05-18 20:19:10.493307+00,2025-05-18 20:19:10.493307+00,
01514b8c-820b-4386-a33e-fd98dabb318a,73674253-a9c0-4721-ab9b-d246a17a6582,Harper Middle College High,Harper Middle College High,false,false,,2025-05-19 00:28:24.594841+00,2025-05-19 00:28:24.594841+00,
01694990-c68b-4ab0-a6d8-12a3ed57c06f,9260d8c1-bd1d-49d2-bf13-56d57e897ec0,University of Northern Colorado University of Northern Colorado,University of Northern Colorado University of Northern Colorado,true,false,8865,2025-05-18 20:23:16.008284+00,2025-05-18 20:23:16.008284+00,
0169921a-73a9-4ff5-a03d-44e9989a9dd1,9a40fb2d-1133-4081-8c6a-332b37fe52e9,Cameron University Cameron University,Cameron University Cameron University,true,true,3633,2025-05-18 20:53:48.152605+00,2025-05-18 20:53:48.152605+00,
019d3f81-0402-46ab-832e-e07b1e0430b8,9a29aba6-61b9-4531-9e11-522150ff4980,SOAR Academic Institute,SOAR Academic Institute,false,false,,2025-05-19 00:52:23.02627+00,2025-05-19 00:52:23.02627+00,
01ac0517-2879-4ba9-af9e-06a495db207c,516d4951-ad99-488d-bdc0-d3fb67519ea0,Strayer University Miramar Campus,Strayer University Miramar Campus,true,false,5094314,2025-05-18 21:12:26.874089+00,2025-05-18 21:12:26.874089+00,
01c2a074-96d5-4f14-9493-d0df71bec74a,a5aa4554-adf3-473d-b855-4ae78e8fcf2f,California State University Maritime Academy California State University Maritime Aca,California State University Maritime Academy California State University Maritime Aca,true,false,7779,2025-05-18 20:37:00.354255+00,2025-05-18 20:37:00.354255+00,
01cfc0a3-7ea4-4154-a778-293e348acb02,5bd614d0-e4df-4dbc-aa2c-5016056e7db9,Lone Star College System District Lone Star College System District,Lone Star College System District Lone Star College System District,true,true,6813,2025-05-18 21:17:56.503569+00,2025-05-18 21:17:56.503569+00,
01cfddcd-e63e-4299-9fed-5737da967d0d,ec1b1ed6-27b8-4e69-bfce-a2cdcdf0ff8e,Middle College High,Middle College High,false,false,,2025-05-19 00:46:29.937887+00,2025-05-19 00:46:29.937887+00,
01e0273d-5230-45d0-b9b0-ab183274f039,73a15a40-12b0-47a6-9ed3-adab39a62311,Washington State University Washington State University,Washington State University Washington State University,true,false,5231099,2025-05-18 20:52:17.264488+00,2025-05-18 20:52:17.264488+00,
01ecff9a-f47a-4870-9ea8-501970eeb272,da3580a0-a309-418e-a595-27991fd4a903,"Hennepin Technical College, Brooklyn Park Hennepin Technical College, Brooklyn Par","Hennepin Technical College, Brooklyn Park Hennepin Technical College, Brooklyn Par",true,true,4398,2025-05-18 21:29:08.270814+00,2025-05-18 21:29:08.270814+00,
01f79bef-394b-4c89-b14d-0786786f735c,45fd2a62-5555-4bc2-80ab-f7f523066705,University of Hawaii - Honolulu Community College Honolulu Community College,University of Hawaii - Honolulu Community College Honolulu Community College,true,true,9212,2025-05-18 20:10:16.60229+00,2025-05-18 20:10:16.60229+00,
020f1190-0f2f-41f5-b663-68af30e4d05a,eb9d65e0-edee-4846-beb3-40e304747d61,Craven Early College High,Craven Early College High,false,false,,2025-05-19 00:37:09.770173+00,2025-05-19 00:37:09.770173+00,
021a8c90-aca7-4282-ab87-099aad54147e,99f91c56-20f4-414a-8784-42a06eb35ebd,Florida A&M University Florida A&M University,Florida A&M University Florida A&M University,true,false,1181,2025-05-18 20:07:49.132878+00,2025-05-18 20:07:49.132878+00,
024129ce-6f27-4ecf-af39-a6f15754983c,3a527115-553a-411c-9683-a6486f8c5700,Hillsborough Community College Hillsborough Community College,Hillsborough Community College Hillsborough Community College,true,true,1540,2025-05-18 20:17:33.436676+00,2025-05-18 20:17:33.436676+00,
02855253-f8f0-4655-afa5-24ecc39e3693,22194923-9da4-4116-a28d-122936aaec83,LIFE Academy at Historic St Jude Educational Institute,LIFE Academy at Historic St Jude Educational Institute,false,false,,2025-05-19 00:18:30.661706+00,2025-05-19 00:18:30.661706+00,
0290584b-cc5a-4424-8cf0-3c11abc45d08,8272f0ed-b3ef-4550-a5ca-5ba3d43bd974,College of Central Florida Citrus Campus,College of Central Florida Citrus Campus,true,true,134811,2025-05-18 22:33:53.095006+00,2025-05-18 22:33:53.095006+00,
029a74d5-e9f6-4122-af3e-18f31a1ab3ed,6eb46a2e-eac5-48ac-b6ba-6a06eae2bb4b,Trinity Valley Community College Athens Campus,Trinity Valley Community College Athens Campus,true,false,11230,2025-05-18 19:57:28.328093+00,2025-05-18 19:57:28.328093+00,
02a3024a-485d-4423-a11c-e3537d791851,0ecbd347-f9d6-4ca5-8064-b8d6f0e7d5d3,World Mission University World Mission University,World Mission University World Mission University,true,false,7027,2025-05-18 18:43:17.764733+00,2025-05-18 18:43:17.764733+00,
02baca87-0c08-45bd-9913-b2cd70eb0832,4260845a-d953-4562-b059-4c468cef987b,University of Arkansas at Pine Bluff University of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff University of Arkansas at Pine Bluff,true,false,1060,2025-05-18 19:57:04.210961+00,2025-05-18 19:57:04.210961+00,
02da6549-3bfd-4100-b2fc-0c9af85d3cdc,878cd362-c65b-4081-b9ad-cd1bef792d9b,Antelope Valley College Palmdale Center,Antelope Valley College Palmdale Center,true,true,141039,2025-05-18 20:36:18.079425+00,2025-05-18 20:36:18.079425+00,
02e17bb4-5cce-4890-b875-f28795eab236,9eb458c2-44e4-471a-8523-7c9b5ae64eff,"Tarleton State University Tarleton State University Ft. Worth, MLS","Tarleton State University Tarleton State University Ft. Worth, MLS",true,false,1035243,2025-05-18 20:12:08.35919+00,2025-05-18 20:12:08.35919+00,
02f17063-e111-4a7d-808f-ba71888a5c49,0bd60fbb-9726-4a64-819d-448bc46671e2,St. Thomas University St. Thomas University,St. Thomas University St. Thomas University,true,false,7879,2025-05-18 21:12:19.871788+00,2025-05-18 21:12:19.871788+00,
031472c9-0d04-454b-bb8d-eecb395fe6df,bd082492-aef7-4a78-afce-177e75913bc2,Wenatchee Valley Technical Skills Center,Wenatchee Valley Technical Skills Center,false,false,,2025-05-19 00:44:53.746749+00,2025-05-19 00:44:53.746749+00,
031a0598-8066-4075-8de0-1da812845a35,197e9a60-1bca-4e30-bf6f-93b8fe0bc975,Westmont College Westmont College,Westmont College Westmont College,true,false,6602,2025-05-18 20:37:55.18667+00,2025-05-18 20:37:55.18667+00,
03203b47-1fc9-468d-bb1e-c5f09a732f65,11dcfe9e-83bb-4f5e-9eae-2a502e15d8b1,Foothill College Sunnyvale Center,Foothill College Sunnyvale Center,true,false,3958154,2025-05-18 20:36:01.030236+00,2025-05-18 20:36:01.030236+00,
03448bf9-d2fd-4829-8329-4d790508b2bf,6744469e-552c-4eb7-bef6-683bdbc98724,Campbellsville University Campbellsville University,Campbellsville University Campbellsville University,true,false,7535,2025-05-18 22:10:45.477621+00,2025-05-18 22:10:45.477621+00,
034e2d35-7e35-47f2-a0a8-26b277569d39,b2acd390-55c8-4e38-abd5-bb7d806471f5,"College of Southern Nevada, NSHE Elite Aviation","College of Southern Nevada, NSHE Elite Aviation",true,false,647543,2025-05-18 20:32:32.13748+00,2025-05-18 20:32:32.13748+00,
036b9786-4aba-4e29-8954-27f5f422ec78,d24bf4c6-487e-4f88-8c57-89d46aca9aab,Wartburg College Wartburg West,Wartburg College Wartburg West,true,false,5235628,2025-05-18 20:07:05.302469+00,2025-05-18 20:07:05.302469+00,
0381068e-d8a2-43f6-9e82-1d704b5f6b00,536f5faf-3d0d-4ff7-99ba-fbece3fea7e9,Grayson College Grayson College,Grayson College Grayson College,true,true,92,2025-05-18 21:41:51.609314+00,2025-05-18 21:41:51.609314+00,
03c102f5-7e2b-4a56-8abd-feed433433a4,26a1f9d0-e3ae-4c7b-93dc-f94908289c20,Washington State University Washington State University: Pullman,Washington State University Washington State University: Pullman,true,false,8019,2025-05-18 21:15:17.539291+00,2025-05-18 21:15:17.539291+00,
03e84ebc-68c2-473d-93c4-8c552e3ca941,8571582a-df5b-4ea9-a057-c5ec68919435,Community College of Rhode Island Knight Campus,Community College of Rhode Island Knight Campus,true,false,11127,2025-05-18 20:59:53.8581+00,2025-05-18 20:59:53.8581+00,
03fde6ae-4503-49b5-a949-34ed41c223cb,55faf34f-e5e5-444a-a0db-92fedba0ec2c,University of San Francisco University of San Francisco,University of San Francisco University of San Francisco,true,false,7836,2025-05-18 19:52:32.384681+00,2025-05-18 19:52:32.384681+00,
04134835-d5e7-4490-95b6-7ffbe958a905,da3580a0-a309-418e-a595-27991fd4a903,St. Cloud State University St. Cloud State University - NHCC,St. Cloud State University St. Cloud State University - NHCC,true,false,3415849,2025-05-18 21:29:08.797599+00,2025-05-18 21:29:08.797599+00,
041df64a-4a4c-448a-97d2-79f1fafb5644,88e066cd-f0c7-426b-9a8b-3ee6d1f0f7c4,University of Northern Iowa University of Northern Iowa,University of Northern Iowa University of Northern Iowa,true,false,6585,2025-05-18 21:27:51.1897+00,2025-05-18 21:27:51.1897+00,
04267f22-a1b4-429c-8cd5-7b01817dae03,e686f786-e2bf-4d2f-ad44-6afc70a8b1a2,California State University Channel Islands Channel Islands,California State University Channel Islands Channel Islands,true,false,44576,2025-05-18 20:59:45.522221+00,2025-05-18 20:59:45.522221+00,
042b6bae-bfe1-4ddf-86ea-a56495c45448,f357418a-bac6-4715-945d-4b0132750b11,Northwest College NWC Worland Center,Northwest College NWC Worland Center,true,false,111130,2025-05-18 22:51:00.249614+00,2025-05-18 22:51:00.249614+00,
0443dce9-d9b0-441b-9611-87aa0ccd9539,8e0234ae-794f-4bce-bff0-19d137cc5cb4,Brazosport College Brazosport College,Brazosport College Brazosport College,true,true,2354,2025-05-18 21:41:24.088014+00,2025-05-18 21:41:24.088014+00,
044b8b22-1951-4e0f-bee5-d0fced38414c,34f678bc-2267-424c-8cf3-0b9f94a2a6a7,Chippewa Valley Technical College Chippewa,Chippewa Valley Technical College Chippewa,true,false,13013,2025-05-18 22:14:27.887637+00,2025-05-18 22:14:27.887637+00,
046a2682-1174-43db-890a-cd61a8943533,f33eaca6-a094-438e-9530-086afa4cc130,Schoolcraft College Livonia,Schoolcraft College Livonia,true,true,7797,2025-05-18 21:11:25.562085+00,2025-05-18 21:11:25.562085+00,
048078a8-6e39-4916-bb4d-375f3c512137,bca40a9f-0c5f-4c49-93fb-659c47336bf7,Strayer University Chamblee Campus,Strayer University Chamblee Campus,true,false,5094282,2025-05-18 22:00:10.333902+00,2025-05-18 22:00:10.333902+00,
04923e8c-05fa-4b1c-aae8-e3d575251be5,23e308db-339a-431e-946b-f2b2918d00c7,Hertford Co Early College,Hertford Co Early College,false,false,,2025-05-19 00:53:50.39354+00,2025-05-19 00:53:50.39354+00,
04b763dc-c9ee-42b5-83f6-104b0c919252,d8140b2f-9aea-45f0-bc05-d6d793398827,Fort Scott Community College FSCC-Pittsburg Site-PSU,Fort Scott Community College FSCC-Pittsburg Site-PSU,true,true,97123,2025-05-18 21:22:45.654807+00,2025-05-18 21:22:45.654807+00,
04f77559-ff73-456a-8a58-96f543303274,5c19a87b-dd6c-4140-b861-4b36889c0ffe,The Community College of Baltimore County CCBC Dundalk,The Community College of Baltimore County CCBC Dundalk,true,false,2577,2025-05-18 20:13:04.606626+00,2025-05-18 20:13:04.606626+00,
051abc6b-01d3-454a-b6f7-b931c703e93d,99762b4b-789a-4aea-9c0e-4dfe34314261,Roosevelt University Roosevelt University - College of Dupage,Roosevelt University Roosevelt University - College of Dupage,true,false,178884,2025-05-18 21:53:40.652275+00,2025-05-18 21:53:40.652275+00,
051e9a26-d30d-4369-901f-711235d18350,877c3132-d65e-477f-b782-6e2c0a0f5bbb,Underwood University Underwood University Marietta Site,Underwood University Underwood University Marietta Site,true,false,4950391,2025-05-18 20:05:12.712615+00,2025-05-18 20:05:12.712615+00,
0531f6c1-97f7-4262-9c3e-faa61294c43b,29c53de7-3179-4b2a-a1b5-1b80a6be2a15,ROBERT H GODDARD HS-COMM/TECH,ROBERT H GODDARD HS-COMM/TECH,false,false,,2025-05-19 00:46:37.438096+00,2025-05-19 00:46:37.438096+00,
054cdb31-e034-4857-9ed3-7d00d6e29227,57afc46a-9a93-45cb-bd72-41c2d13bab77,The University of Georgia The University of Georgia at Tifton,The University of Georgia The University of Georgia at Tifton,true,false,131921,2025-05-18 22:01:27.994032+00,2025-05-18 22:01:27.994032+00,
055f71bc-7fa0-4240-8889-f59fec43ad20,86468fbd-fb0d-4b19-a7c1-0a3b1f3035b1,Joliet Junior College District #525 City Center Campus,Joliet Junior College District #525 City Center Campus,true,true,153101,2025-05-18 21:07:09.243458+00,2025-05-18 21:07:09.243458+00,
057f4749-ed84-4309-bbd2-e416274cd54c,1e9dddbe-f2bf-4231-a9e3-fd7fb473e9fe,Crater School of Business Innovation and Science,Crater School of Business Innovation and Science,false,false,,2025-05-19 00:49:20.189428+00,2025-05-19 00:49:20.189428+00,
0588cc1f-16b1-4b3d-b04f-060bc9cf5b37,9eb458c2-44e4-471a-8523-7c9b5ae64eff,Texas Christian University Texas Christian University,Texas Christian University Texas Christian University,true,false,8655,2025-05-18 20:12:09.184329+00,2025-05-18 20:12:09.184329+00,
058a09b3-bace-485c-8c13-a1abbe0f0756,3006634e-a29e-4926-a96b-9f7c99c790f9,Bethlehem Area Vocational-Technical School,Bethlehem Area Vocational-Technical School,false,false,,2025-05-19 00:38:56.75865+00,2025-05-19 00:38:56.75865+00,
058e1e4c-1d29-4ffc-893c-b46c71c2b16a,9f55c274-6443-4af3-920f-16597aaffc13,Redding School of the Arts,Redding School of the Arts,false,false,,2025-05-19 00:36:38.697314+00,2025-05-19 00:36:38.697314+00,
05a99e4a-971c-4db7-927f-8bb9f8bcb6dc,72ce80a1-1e88-4b00-92fc-2677e447716e,Salt Lake Community College Miller Campus,Salt Lake Community College Miller Campus,true,true,97140,2025-05-18 22:03:12.541189+00,2025-05-18 22:03:12.541189+00,
